"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",0.8,0.6,0.6,0,-0.13,0.6,0.72,0,0,0.6,0.6,0.72,1.2,2.4,2.4,1.8,1.8,1.8,2.16,1.2,1.2,1.4,1.4,0.8,1.2,0.8,1.2,0.6,0,0,1.2,1.4,1.4,1.4,0.8,0.6,1.2,1.2,0.72,0.6,0.6,1.4,0.8,1.8,1.4,1.2,0.6,-0.4,1.44,0.6
"2",1.8,0.6,0.6,-0.31,0.72,0.6,0.72,0,-1.6,0.6,0.6,0.72,1.2,1.4,1.4,1.8,0.8,1.8,1.16,1.2,1.2,1.4,1.4,0.8,1.2,1.8,1.2,0.6,0,0,1.2,1.4,1.4,1.4,0.8,0.6,1.2,1.2,0.72,0.6,0.6,1.4,1.8,0.8,1.4,1.2,0.6,0.6,0.44,-0.4
"3",0.8,-0.4,0.6,0,-0.28,-0.4,-0.92,0,0,0.6,0.6,-0.28,0.2,1.4,1.4,0.8,1.8,0.8,1.16,1.2,0.2,1.4,1.4,0.8,0.2,0.8,0.2,0.6,0,0,1.2,1.4,1.4,1.4,1.8,0.6,0.2,0.2,-0.28,0.6,0.6,1.4,0.8,0.8,1.4,0.2,0.6,0.6,0.44,0.6
"4",1.8,0.6,0.6,-0.9,0.72,0.6,0.72,0,0,0.6,0.6,0.72,1.2,1.4,1.4,0.8,0.8,0.8,1.16,0.2,1.2,2.4,2.4,1.8,1.2,1.8,1.2,0.6,0,0,1.2,2.4,2.4,2.4,1.8,0.6,1.2,1.2,0.72,0.6,0.6,2.4,1.8,1.8,2.4,1.2,0.6,0.6,1.44,0.6
"5",0.8,0.6,-0.4,0,0.72,0.6,-0.28,0,0,-0.4,-0.4,0.33,0.2,1.4,1.4,1.8,0.8,0.8,0.51,1.2,0.2,1.4,1.4,1.8,0.2,0.8,0.2,-0.4,0.44,0,0.2,1.4,1.4,1.4,1.8,-0.4,0.2,0.2,-1.12,-0.4,-0.4,1.4,0.8,0.8,1.4,0.2,-0.4,0.6,-0.52,0.6
"6",1.8,0.6,0.6,-1.09,0.72,0.6,0.72,0,0,0.6,0.6,0.72,1.2,2.4,2.4,0.8,1.8,1.8,2.16,0.2,1.2,2.4,2.4,1.8,1.2,1.8,1.2,0.6,0,0,0.2,2.4,2.4,2.4,0.8,0.6,1.2,1.2,0.72,0.6,0.6,2.4,1.8,1.8,2.4,1.2,0.6,0.6,1.44,0.6
"7",1.4,2.16,0.8,0.9,2,0.44,3,0,0.2,2.16,-0.1,3,1.2,0.8,0,0,1.16,1.2,1.2,1.44,0.72,0.6,0,0.72,0.72,1.2,0.9,1.2,0.6,0.72,0,1.44,3,1.2,1.2,1.8,0,0.72,0.6,0.6,1.2,-0.4,0,1.8,0.6,-1.71,0.6,0.72,-0.28,0.72
"8",2.4,1.16,0.8,-0.12,2,0.44,2,0,0.2,-1.26,-0.53,2,0.2,1.8,0,0,1.16,0.2,1.2,0.44,0.72,0.6,0,-1.16,0.72,0.2,-0.1,1.2,0.6,0.72,0,0.44,2,0.2,1.2,0.8,0,0.72,-0.4,0.6,0.2,0.6,0,0.8,0.6,0,-0.4,0.81,0.65,0.72
"9",2.4,-0.34,1.8,0.9,2,1.44,2,0,1.2,1.16,0.9,2,1.2,0.8,0,0,-0.54,1.2,0.2,1.44,-0.28,0.6,0,-0.28,-0.28,1.2,0.9,0.2,0.6,-0.28,0,1.44,2,1.2,0.2,1.8,0,-0.28,0.6,0.6,0.2,0.6,0,0.8,-0.4,0,0.6,-0.28,0.72,0.72
"10",1.4,1.16,1.8,-0.1,3,1.44,2,0,1.2,1.16,0.9,2,1.2,1.8,0,0,1.16,1.2,1.2,0.44,-1.34,0.6,0,0.72,0.72,1.2,0.9,0.2,0.6,0.72,0,0.44,2,1.2,1.2,0.8,0,0.72,0.6,-0.4,1.2,0.6,0,1.8,0.6,0,0.6,0.72,0.72,-0.28
