"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"45",1,1,0,1,2,2,1,1,2,1,0,1,1,1,1,2,0,1,1,2,0,1,2,1,1,1,2,0,1,1,1,1,2,1,2,2,1,1,2,0,1,2,2,1,1,2,0,2,1,2
"46",0,2,2,2,0,2,0,2,0,2,0,2,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0
"47",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"48",0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0,1,1,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0
"49",1,0,1,0,0,2,0,0,0,2,2,0,0,0,0,0,2,0,2,0,2,0,0,2,0,2,0,0,2,0,0,2,0,0,1,0,0,1,0,1,2,1,2,1,2,2,2,0,0,2
"50",0,0,0,2,1,0,0,2,0,2,2,0,1,0,2,0,0,0,0,2,0,2,0,0,2,0,0,0,2,0,1,2,0,2,0,0,0,2,0,0,2,0,0,2,2,0,2,0,2,2
"51",0,0,0,1,1,2,0,1,2,1,0,0,2,1,2,2,2,2,2,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,1,1,2
"52",0,2,0,2,0,0,1,2,2,2,2,2,2,0,2,2,2,2,2,2,1,0,0,2,0,2,0,0,2,2,2,2,2,2,2,2,2,2,2,2,0,2,2,2,2,2,2,2,2,0
"53",0,0,0,2,0,2,1,0,0,2,1,0,0,0,0,0,0,2,0,2,1,1,0,2,0,1,1,0,2,1,0,0,2,0,1,1,0,2,2,1,0,2,0,0,0,2,0,1,0,2
"54",1,0,2,1,1,0,2,1,1,0,0,0,2,0,0,2,1,0,2,0,1,2,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2
"55",0,0,2,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,2,0,0,2,0,0,0,1,1,1,0
"56",0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,0,2,2,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,1,2,0,0,0,0,0,0
"57",1,0,0,1,1,2,1,0,2,2,1,1,1,0,1,0,2,1,1,1,1,0,0,1,0,1,1,2,1,0,1,0,1,0,0,1,0,2,1,0,0,0,0,1,1,0,1,0,0,2
"58",1,0,1,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1
"59",1,0,1,0,1,0,0,1,1,0,1,2,1,0,1,0,2,0,1,0,0,1,1,2,1,0,0,1,0,0,2,0,1,1,0,1,0,0,1,0,0,2,0,1,0,1,0,0,0,1
"60",1,1,2,1,0,0,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,1,0,0,2,0,0,2,0,0,2,2
"61",1,0,0,0,1,0,2,0,0,0,0,0,2,1,0,0,0,1,0,2,0,0,0,2,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
"62",0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,2,0,2,0,2,0,1,2,1,1,2,1,0,0,2,0,2,0,2,2,0,2,0,2,0
"63",1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1
"64",1,0,1,2,1,0,2,1,1,0,2,0,1,1,1,0,0,0,1,0,2,0,0,2,1,2,0,1,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
"65",0,0,1,0,0,0,1,0,2,1,0,0,2,0,0,1,0,0,1,0,1,0,2,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"66",0,2,2,0,0,2,2,1,0,2,1,1,1,1,2,1,0,0,0,2,1,1,2,1,1,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
"67",0,0,0,1,2,0,0,0,0,0,0,0,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"69",0,1,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,2,0,2,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"70",1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0
"71",1,1,2,2,1,1,2,2,0,0,0,0,0,1,0,2,2,0,2,0,2,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"72",1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,2,1,2,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,0
