"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",1.2,2.54,0.82,1.8,0,2.21,0.44,0.6,0.1,2.56,0.6,0.01,0.8,2.88,2.42,2.6,0.9,0.93,0,0,2.4,0.99,0.42,1.44,1.44,0.73,1.2,0.52,0,2.6,1.62,2.16,0.44,1.49,1.8,0.77,2.7,0.44,1.44,0.08,0.72,1.42,0.8,1.3,0.72,1.68,0.9,0.87,1.31,0.8
"2",2.23,0,2.35,0.8,0,0.4,0.41,-0.4,0.19,0.2,0.6,0.06,1.8,1.88,0,1.84,0.19,1.8,1.26,0,1.06,0.14,1.8,1.44,1.4,1.2,1.67,1.4,0,0.18,0.8,2.16,1.44,1.7,0.8,0.9,1.62,1.44,0.44,1.6,0.73,0.34,0.8,2.2,0.72,1.79,-0.1,0.13,0,1.93
"3",1.2,0,1.8,0.56,2.01,1.29,2,0.6,0.89,1.34,0.6,0.76,0.8,1.88,0,2.41,0.13,0.85,0,1.97,0.83,0.9,0.54,1.44,1.44,1.2,1.08,2.27,0,0.96,1.8,2.54,1.44,0,1.39,0.09,1.26,0.51,1.44,1.2,0.72,0.47,1.77,0.79,0.72,1.2,2.14,2.4,2.23,1.23
"4",0.2,0,0.8,1.8,0,1.19,1.65,0.6,1.78,1.74,0.6,2.6,0.8,1.88,0,2.6,-0.1,0.4,0.93,0.6,1.4,-0.1,1.35,0.44,0.44,1.82,1.2,1.4,1.26,2.46,0.8,1.16,0.44,0.44,1.42,-0.1,1.7,0.44,1.44,2.54,-0.28,0,0.78,1.8,1.27,1.01,0.9,1.91,0,0.08
"5",1.92,0,0.33,1.45,0.93,0.63,2.6,0.6,1.83,2.17,0.6,2.6,1.8,1,2.28,2.6,0.9,0.43,0,1.49,1.4,0.9,0.8,0.2,0.44,0.2,2.32,0.95,0,1.71,1.11,1.16,2.54,1.56,2.56,0.9,1.7,1.44,0.15,0.2,0.72,2.49,1.8,1.93,-0.28,0.2,0.9,0.16,0,1.08
"6",1.41,0,0.42,0.8,1.9,0,2.6,0.6,0.88,2.6,-0.4,1.62,1.8,1.88,0,2.6,0.9,0.8,0,2.29,2.43,0.9,1.51,0.44,1.44,0.13,0.2,2.4,1.2,2.6,1.8,1.16,1.44,0.56,1.89,0.9,1.7,1.44,0.44,1.2,0.72,2.43,1.8,0.8,0.72,1.2,1.58,2.6,0,1.8
"7",0.72,0,2.18,0,2.54,0.14,1.2,2.6,1.32,0.61,0.72,1.34,1.16,1.2,0.27,1.7,1.27,0.55,-0.28,2,0.9,2.56,1.6,1.32,1.88,1.2,1.76,0.44,1.8,1.56,0.8,2.12,0.12,0.72,1.58,0,1.4,0.83,1.2,1.4,2.16,2.45,1.44,0.7,0.55,0,2.6,2.24,2.16,0.93
"8",2.6,1.91,1.62,2.11,0.05,1.62,1.85,0.86,1.56,1.7,-0.28,2.6,1.16,0.2,2.6,1.7,0.2,1.16,0.72,1.42,-0.1,1.15,1.7,1.75,1.88,1.2,0.25,0.44,0.8,0.8,0.8,2.22,0.06,-0.28,1.7,0,0.22,-0.1,0.27,0.09,1.16,0.8,0.44,0,0.44,0,0.09,-0.1,1.16,1.16
"9",-0.28,0.1,1.2,0,0.23,0.8,0.2,1.83,0.89,1.7,0.72,2.6,1.16,0.2,1.12,2.23,0.68,1.16,0.36,0.8,0.31,0.51,1.7,1.24,1.88,0.2,0,2.31,0.8,0.94,0.68,0.8,1.4,1.6,1.7,1.2,1.4,0.41,0.2,0.04,1.16,0.8,2.5,0.51,0.44,0.87,2.6,0.48,1.16,1.16
"10",0.72,0,0.2,0,1.8,1.8,1.2,2.6,0.56,1.7,0.72,2.6,2.16,1.2,2,1.74,1.2,1.16,0.72,1.8,0.9,2.6,1.7,1.2,1.88,1.2,0,1.44,0.79,0.8,2.55,1.8,1.4,0.72,1.7,0,2.4,0.9,1.2,1.4,1.16,1.8,0.44,0,1.44,0,2.6,0.9,1.16,2.16
"11",0.72,0,1.2,1.34,0.8,1.99,1.23,1.9,0,2.7,2.6,2.56,2.15,1.2,1.26,1.7,0.03,2.16,0.72,2.08,0.9,1.13,2.7,0.2,2.88,0.2,0.45,1.44,1.8,1.8,1.8,0.92,0.43,0.72,2.7,0,2.46,0.9,1.94,2.4,0.83,1.8,1.44,0.75,1.44,0,1.01,0.9,0.14,1.16
"12",0.72,1.06,1.53,1.1,2.31,2.05,0.84,2.45,0,0.19,0.72,0.92,2.16,1.2,0.46,2.7,1.2,2.16,0.72,2.09,0.79,1.26,2.44,1.2,0.57,1.2,1.22,1.44,1.4,1.8,1.8,0.08,2.4,0.72,0.22,0,0.54,0.9,0.3,1.09,2.16,0.01,1.44,0.94,1.44,0,0.45,0.9,2.16,2.16
"13",1.4,0,1.96,1.7,0,0.44,0.9,0.8,2.22,1.7,0,1.16,0.44,2.25,1.16,1.44,2.58,0.44,0,0.44,0,1.21,-0.28,1.16,0,0.15,0.17,0.9,0,0.8,1.8,1.57,2.6,0,0.9,1.8,1.7,1.7,0.44,1.44,0.64,1.16,0.72,1.3,0.2,1.03,0.9,0.66,2.6,0.48
"14",2.4,0,1.31,2.7,0,1.44,1.2,1.8,0,0.9,0,2.16,1.44,0,2.41,0.11,1.12,1.44,0,1.44,0,0.02,0.72,2.16,0,0.72,2.51,0.98,0,1.5,1.8,0.73,2.6,0,0.9,1.13,0.09,1.7,1.44,0.44,1.2,2.16,0.72,0.04,1.2,0,0.9,1.8,0.88,0.72
"15",0.99,2.48,2.19,1.53,0.64,1.44,1.2,1.8,0,2.7,0,2.16,1.44,0,2.16,1.4,0,1.44,0,1.44,1.73,2.57,0.72,2.16,0,0.72,0,1.18,0.54,1.19,0.8,0.7,0.81,0,-0.1,0.8,1.7,1.7,0.44,0.44,0.2,1.16,-0.28,2.6,1.2,0,-0.1,0.8,2.6,-0.28
"16",1.4,0,0.27,1.7,0,0.44,1.33,0.8,0.38,1.7,0,1.16,0.44,1.98,1.16,2.4,1.85,0.44,0,0.44,1.08,2.6,0.72,1.16,1.71,-0.28,0.22,-0.1,1.94,0.85,0.8,2.09,1.9,0,2.1,1.8,1.7,2.7,1.44,1.44,1.2,1.16,0.72,1.96,0.2,0,0.58,1.8,1.21,0.72
"17",0.51,0,0,0.29,0,1.9,1.15,2.23,1.12,0.52,0,1.76,1.44,1.37,2.16,1.09,0,2.43,0.84,0.8,0,1.57,1.64,0.65,0,0.72,0.56,0.9,0.37,1.43,0.86,0,0.56,0,0.9,0.34,2.38,1.53,1.44,1.44,1.48,2.2,0.72,0.86,1.2,0.96,1.12,0.52,0.81,0.72
"18",0.89,0,0,1.7,0,1.44,0.2,1.15,0.09,1.7,0.89,1.16,0.69,0,1.16,1.4,2.56,1.44,1.31,1.44,0,1.65,0.72,1.16,0.37,0.72,0,0.9,0,1.8,1.71,2.54,2.6,0,1.19,0.8,2.7,0.69,0.72,0.8,1.93,2.16,0.77,2.6,1.2,1.65,0.9,0.8,1.48,0.72
