"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"40",2,2,3,2.4,1.8,1.8,2.4,2.4,2.4,2.4,1.4,2.4,1.2,1.8,1.8,1.2,1.2,0.6,1.8,3,3,1.4,2.4,2.6,3,1.2,1.2,1.2,1.8,1.8,1.8,1.2,0,0.8,1.8,1.8,1.2,0.6,1.2,1.2,0.6,-0.4,0,0.8,0.2,1.2,0,0.8,0,2.4
"41",2,2,2,1.4,0.8,0.8,1.4,1.4,1.4,1.4,1.4,1.4,0.2,1.8,1.8,1.2,1.2,0.6,0.8,2,2,1.4,1.4,2.6,2,0.2,1.2,1.2,0.8,0.8,1.8,0.2,0,1.8,0.8,0.8,1.2,0.6,1.2,1.2,0.6,0.6,0,0.8,0.2,0.2,0,1.8,0,1.4
"42",2,2,2,1.4,0.8,0.8,1.4,1.4,1.4,1.4,1.4,1.4,0.2,0.8,0.8,0.2,0.2,-0.4,0.8,2,2,1.4,1.4,2.6,2,0.2,0.2,0.2,0.8,0.8,0.8,0.2,0,0.8,0.8,0.8,0.2,-0.4,0.2,0.2,-0.4,0.6,0,1.8,1.2,0.2,0,0.8,0,1.4
"43",1.2,0.6,0,0,1.8,0,-0.4,1.8,0.6,0,0,0.6,1.2,0,1.2,0.6,1.8,0.6,0,0,1.2,1.8,0.6,0.6,0,0,0.6,1.2,1.2,0.2,0.2,0.8,0.2,0.6,0.8,1.2,0.2,1.2,1.2,0,0.6,0.6,0.6,0,-0.4,0.6,0,0.6,-0.4,0.2
"44",1.2,-0.4,0,0,0.8,0,0.6,1.8,-0.4,0,0,-0.4,1.2,0,1.2,-0.4,1.8,0.6,0,0,0.2,0.8,0.6,0.6,0,0,-0.4,0.2,0.2,0.2,1.2,1.8,1.2,-0.4,0.8,0.2,0.2,0.2,0.2,0,0.6,0.6,0.6,0,0.6,0.6,0,0.6,0.6,1.2
"45",1.2,0.6,0,0,1.8,0,0.6,0.8,0.6,0,0,0.6,0.2,0,1.2,0.6,0.8,0.6,0,0,1.2,1.8,0.6,0.6,0,0,0.6,1.2,1.2,1.2,1.2,1.8,1.2,0.6,1.8,1.2,1.2,1.2,1.2,0,0.6,0.6,0.6,0,0.6,0.6,0,0.6,0.6,1.2
"46",0.2,0.6,0,0,1.8,0,0.6,0.8,0.6,0,0,0.6,1.2,0,0.2,0.6,0.8,-0.4,0,0,0.2,0.8,0.6,-0.4,0,0,0.6,1.2,0.2,1.2,0.2,0.8,0.2,0.6,0.8,0.2,1.2,0.2,0.2,0,0.6,-0.4,0.6,0,0.6,-0.4,0,0.6,0.6,1.2
"47",0.2,0.6,0,0,0.8,0,0.6,0.8,0.6,0,0,0.6,0.2,0,1.2,0.6,0.8,0.6,0,0,1.2,1.8,0.6,0.6,0,0,0.6,0.2,1.2,1.2,1.2,0.8,1.2,0.6,1.8,1.2,1.2,1.2,1.2,0,-0.4,0.6,-0.4,0,0.6,0.6,0,-0.4,0.6,0.2
"48",1.2,0.6,0,0,0.8,0,0.6,1.8,0.6,0,0,0.6,1.2,0,0.2,0.6,1.8,0.6,0,0,1.2,0.8,-0.4,0.6,0,0,0.6,1.2,1.2,1.2,1.2,1.8,1.2,0.6,1.8,1.2,1.2,1.2,1.2,0,0.6,0.6,0.6,0,0.6,0.6,0,0.6,0.6,1.2
"49",0.8,0.8,0,1.2,1.2,0.6,0.6,0,0.8,0.6,0,-0.4,1.2,1.2,1.2,1.2,1.2,0.6,0.6,0.6,0,0,0.2,0.6,0.6,0.6,1.2,1.2,0.2,1.2,0.6,0.6,0.2,1.2,0,0,0.6,0.8,1.8,1.2,0.8,1.2,1.2,0.2,0,0.6,-0.4,0,0,0
"50",0.8,0.8,0,1.2,0.2,0.6,-0.4,0,0.8,0.6,0,0.6,0.2,0.2,0.2,0.2,0.2,-0.4,-0.4,-0.4,0,0,1.2,-0.4,-0.4,-0.4,0.2,0.2,0.2,0.2,-0.4,-0.4,1.2,0.2,0,0,0.6,0.8,0.8,0.2,1.8,0.2,0.2,1.2,0,0.6,0.6,0,0,0
"51",1.8,0.8,0,0.2,0.2,-0.4,0.6,0,1.8,-0.4,0,0.6,1.2,0.2,0.2,0.2,0.2,0.6,0.6,0.6,0,0,1.2,0.6,0.6,0.6,0.2,1.2,1.2,1.2,0.6,0.6,1.2,1.2,0,0,0.6,0.8,0.8,0.2,0.8,0.2,0.2,1.2,0,-0.4,0.6,0,0,0
"52",1.8,1.8,0,1.2,1.2,0.6,0.6,0,0.8,0.6,0,0.6,1.2,1.2,1.2,1.2,1.2,0.6,0.6,0.6,0,0,1.2,0.6,0.6,0.6,1.2,0.2,1.2,0.2,0.6,0.6,0.2,0.2,0,0,0.6,1.8,0.8,1.2,0.8,1.2,1.2,0.2,0,0.6,0.6,0,0,0
"53",0.8,1.8,0,0.2,1.2,0.6,0.6,0,1.8,0.6,0,0.6,0.2,1.2,1.2,1.2,1.2,0.6,0.6,0.6,0,0,0.2,0.6,0.6,0.6,1.2,1.2,1.2,1.2,0.6,0.6,1.2,1.2,0,0,-0.4,1.8,1.8,1.2,1.8,1.2,1.2,1.2,0,0.6,0.6,0,0,0
"54",1.8,1.8,0,1.2,1.2,0.6,0.6,0,1.8,0.6,0,0.6,1.2,1.2,1.2,1.2,1.2,0.6,0.6,0.6,0,0,1.2,0.6,0.6,0.6,1.2,1.2,1.2,1.2,0.6,0.6,1.2,1.2,0,0,0.6,1.8,1.8,1.2,1.8,1.2,1.2,1.2,0,0.6,0.6,0,0,0
