"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"24",1.4,2.16,1.2,1.44,0.9,1.68,1.2,-0.42,2,-0.8,1.2,1.7,3,1.8,2,1.4,0.8,2.6,1.2,2.6,1.2,2,2.4,2.4,2.16,1.8,1.8,1.2,2.88,2.16,2.16,2.4,2.4,3,2.4,1.2,1.2,2.16,2.4,1.8,1.8,1.8,2.4,2.4,1.8,1.44,1.8,0.6,1.2,1.8
"25",2.6,2,2,2,1.2,0.2,0.6,0.72,0.72,0,1.72,1.8,1.8,0.8,0,-0.26,0,1.2,0.2,0.72,0,1.2,0.6,1.8,0.6,1.8,0.6,0,0.9,0.9,0,0,0,-0.36,0.6,1.8,1.2,1.44,0,0,0,1.28,0,1.68,0.86,0.81,0.9,0,1.2,0
"26",2.6,2,2,2,0.2,1.2,0.6,0.72,1.08,0,0.35,-0.26,1.8,1.8,0,0,0,1.2,1.2,0.72,1.08,0.17,0.6,0.58,0.6,1.25,0.6,-0.36,0.9,0.37,0,0,1.73,1.2,0.6,1.4,1.2,1.44,0,0.17,-0.25,0,0,0,1.8,1.63,0.98,1.41,1.56,-0.72
"27",2.6,2,2,2,0.2,1.2,-0.4,0.72,-0.28,1.37,0.2,-0.69,0.8,0.8,0,-0.46,0.67,0.2,0.2,-0.28,-0.78,1.7,0.6,0.8,-0.4,0.8,0.6,-0.74,0.3,-0.1,0.61,0.45,-0.37,-0.31,-0.4,0.8,0.2,0.44,0.58,0.35,1.41,-0.2,1.53,0.83,0.8,0.8,-0.1,0.51,0.2,0
"28",2.6,2,2,2,1.2,1.2,0.6,-0.28,0.72,0,1.15,1.17,1.8,0.8,0,0.58,0.52,0.2,1.2,0.72,0,0.73,0.6,1.8,0.6,1.8,0.6,0,-0.1,-0.44,0,0,1.52,0.2,0.6,-0.75,1.2,0.44,0,0,-0.04,1.15,0.03,0.66,1.28,0.27,0.9,-0.11,1.35,-0.01
"29",2.6,3,2,2,1.2,0.2,0.6,-0.03,0.72,0,1.2,0.08,0.8,1.8,1.1,0,-0.52,1.2,1.2,1.29,0,1.2,-0.4,1.27,0.6,0.72,0.6,0,1.65,0.9,-0.25,0,0.41,0.99,0.6,0.8,0.2,0.03,0,0,0,0,1.03,1.22,-0.71,0.88,0.15,-0.83,1.2,0
"30",2.6,2,3,3,1.2,1.2,0.6,0.72,0.72,0,1.2,0.8,0.8,1.8,0,0,0,1.2,1.2,0.72,0,0.2,0.6,0.8,0.6,0.8,-0.4,0,0.9,0.9,0,0,0,1.2,0.6,1.8,1.2,1.44,0,0,0,0,0,0.79,1.1,1.8,0.9,0,0.69,0
"31",2.88,3,2.16,2.7,2.4,2.16,0.9,0.69,3,1.8,2.4,2.4,1.44,1.8,1.8,0.72,1.44,2.16,1.8,0.6,1.44,1.8,1.2,1.8,1.44,1.2,0.72,1.2,1.8,0.6,1.44,1.8,1.2,0.6,1.8,1.44,0.72,1.2,0.72,1.4,2.88,1.8,1.2,1.2,1.2,0.9,1.16,0.8,3,2.16
"32",1.88,2,1.16,1.7,1.4,1.16,-0.1,1.4,2,1.8,1.4,1.4,1.44,1.8,0.8,0.72,0.44,1.16,1.8,0.6,0.44,1.8,1.2,0.8,0.44,1.2,0.72,0.2,0.8,0.6,0.44,1.8,1.2,0.6,0.8,0.44,0.72,1.2,0.72,1.4,1.88,0.8,0.2,0.2,0.2,0.15,1.16,0.8,2,1.16
"33",1.88,2,2.16,1.7,2.4,1.16,0.9,-0.5,2,0.8,2.4,2.4,0.44,0.8,1.8,0.72,1.44,1.16,0.8,0.6,0.52,0.8,1.2,1.8,1.44,1.2,-0.28,1.2,0.8,0.6,1.44,0.8,0.2,0.6,1.8,1.44,0.72,0.2,0.72,2.4,1.88,0.8,0.2,1.2,1.2,0.9,2.16,1.8,2,1.16
