"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",0.8,2.6,0.72,1.4,0.44,0.72,1.8,2,-0.28,0,1.2,0.38,1.7,1.7,0,1.44,1.8,1.44,1.2,0,1.44,2.45,1.8,0,2.25,1.2,0.71,0,0.62,1.16,0,1.8,0.91,0,1.68,0.9,1.2,2.07,0.28,1.06,0.9,2.75,1.44,2.42,0.68,0.96,0,1.96,0.8,1.74
"2",1.8,1.66,0.72,1.4,1.44,0.72,1.37,2,0.72,0.51,1.2,2.6,0.34,1.7,0,1.44,0.41,0.44,0.2,0,1.44,0,1.8,0,0,0.2,0.8,1.02,2.76,2.16,0.73,1.8,0.52,0,0.94,0.26,0.2,0,2.4,1.57,1.64,0,1.44,1.33,1.4,0.21,1.37,0.62,1.8,1.98
"3",1.8,2.6,0.22,2.52,0.44,0.72,2.27,2,0.78,0,1.2,1.78,1.7,1.7,0,0.44,0.8,0.44,1.4,2.77,0.44,2.8,0.3,0,0,1.2,2.75,1.33,1.8,1.16,2.44,0.8,0.2,2.41,1.8,-0.1,1.2,0,0.41,2.6,0.9,0,0.44,0.62,2.4,2.6,1.59,2.6,1.8,2.04
"4",0.8,2.4,0.72,2.4,1.61,1.61,0.51,2,0.72,2.18,0.2,2.3,1.86,0.21,0,0.62,0.55,0.65,1.2,0.25,2.79,1.54,0.35,0,0,1.08,1.62,2.13,0.8,0.96,2.1,0.8,1.17,0.34,0.8,2.06,1.77,2.18,2.1,2.31,2.54,2.32,1.18,0.3,0.96,2.56,2.33,2.26,2.02,0.8
"5",0.8,2.6,-0.28,0.58,1.44,0.72,0.8,2,0.72,2.09,0.2,0.42,1.7,2.05,0,1.44,0.8,1.44,1.82,0,1.44,1.16,0.8,0,0,1.99,1.8,1.41,0.42,2.16,2.42,0.8,1.2,2.46,0.8,0.9,2.17,0,2.6,2.74,0.9,0.87,0.44,0,2.19,2.6,0,2.77,1.07,2.76
"6",1.8,2.6,0.72,2.2,1.44,-0.28,0.6,3,0.72,1.75,1.2,2.6,2.7,2.7,0.52,0.44,1.8,1.44,2.56,0,0.44,1.82,0.8,1.55,0,2.48,1.32,0,1.3,1.16,2.35,1.8,1.2,1.44,1.8,0.9,1.62,0,2.65,2.6,-0.1,2.21,1.44,1.56,1.4,2.6,0,0.98,0.8,1.8
"7",1.2,0,0.44,0,1.55,1.54,2.08,1.34,0,2.46,1.09,2.55,-0.1,0.8,0.2,1.98,2.45,0.56,1.04,0.2,2.6,0.2,2.6,1.16,0,2.2,1,1.87,0.8,0.2,1.57,2.67,2.59,1.16,0.2,1.22,1.2,1.08,0,1.76,0.72,0.97,0.72,2.49,1.54,2.38,0.72,1.09,1.87,0
"8",1.2,0,0.44,1.48,1.77,2.15,0.29,0.8,1.84,1.47,2.62,2.5,0.58,0.66,1.94,1.4,2.08,1.44,2.38,2.2,0.42,1.91,2.6,0.59,0,0.42,0.8,2.28,2.47,2.16,0.62,0.22,2.6,1.16,0.57,2.4,0.31,1.2,1.21,0.24,-0.28,1.57,0.72,2.61,2.27,1.44,-0.28,1.64,2.01,2.44
"9",1.2,0,1.44,0,0.91,2.75,1.34,1.8,0,0.8,0,2.6,0.9,0.23,1.2,0,0.8,1.29,2.6,1.52,2.6,2.32,2.6,2.16,0.95,1.14,1.8,2.6,2.75,1.2,0.8,0,2.6,2.25,1.2,1.4,1.26,0.2,0.5,2.6,0.72,2.6,0.72,0.44,1.2,2.6,0.72,2.49,2.6,0
"10",0.2,0,1.44,0,2.14,1.8,2.79,1.75,2.26,1.84,2.77,0.48,0.9,1.29,1.2,2.55,1.8,1.64,2.7,2.66,1.05,1.2,1.2,1.16,0.71,0,1.35,0.22,1.8,0.84,1.8,0.93,2.03,2.16,2.63,1.95,1.2,1.47,2.48,2.64,2.64,2.67,0.35,0.32,2.57,2.42,0.81,0.74,2.24,1.93
